"Title","Authors","Journal","Year"
"A review on fairness in machine learning","D Pessach, E Shmueli - ACM Computing Surveys (CSUR), 2022 - dl.acm.org","ACM Computing Surveys (CSUR)","2022"
"Hypernerf: A higher-dimensional representation for topologically varying neural radiance fields","K Park, U Sinha, P Hedman, JT Barron - arXiv preprint arXiv , 2021 - arxiv.org","arXiv preprint arXiv ¡¦","2021"
"Resolution-robust large mask inpainting with fourier convolutions","R Suvorov, E Logacheva, A Mashikhin - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
" Science requirements and detector concepts for the electron-ion collider: EIC yellow report","RA Khalek, A Accardi, J Adam, D Adamiak, W Akers - Nuclear Physics A, 2022 - Elsevier","Nuclear Physics A","2022"
"Safe learning in robotics: From learning-based control to safe reinforcement learning","L Brunke, M Greeff, AW Hall, Z Yuan - Annual Review of , 2022 - annualreviews.org","Annual Review of ¡¦","2022"
"Scaling up gans for text-to-image synthesis","M Kang, JY Zhu, R Zhang, J Park - Proceedings of the , 2023 - openaccess.thecvf.com","Proceedings of the ¡¦","2023"
"Generalizing to unseen domains: A survey on domain generalization","J Wang, C Lan, C Liu, Y Ouyang, T Qin -  on Knowledge and , 2022 - ieeexplore.ieee.org","¡¦ on Knowledge and ¡¦","2022"
"Large language models generate functional protein sequences across diverse families","A Madani, B Krause, ER Greene, S Subramanian - Nature , 2023 - nature.com","Nature ¡¦","2023"
"Consistency models","Y Song, P Dhariwal, M Chen, I Sutskever - arXiv preprint arXiv:2303.01469, 2023 - arxiv.org","arXiv preprint arXiv:2303.01469","2023"
"Federated learning on non-IID data: A survey","H Zhu, J Xu, S Liu, Y Jin - Neurocomputing, 2021 - Elsevier","Neurocomputing","2021"
"Deep neural networks and tabular data: A survey","V Borisov, T Leemann, K Se©¬ler, J Haug -  on Neural Networks , 2022 - ieeexplore.ieee.org","¡¦ on Neural Networks ¡¦","2022"
"Interpretable machine learning: Fundamental principles and 10 grand challenges","C Rudin, C Chen, Z Chen, H Huang - Statistic , 2022 - projecteuclid.org","Statistic ¡¦","2022"
"Domain generalization: A survey","K Zhou, Z Liu, Y Qiao, T Xiang - IEEE Transactions on , 2022 - ieeexplore.ieee.org","IEEE Transactions on ¡¦","2022"
"Pivotal tuning for latent-based editing of real images","D Roich, R Mokady, AH Bermano - ACM Transactions on , 2022 - dl.acm.org","ACM Transactions on ¡¦","2022"
"Cogview2: Faster and better text-to-image generation via hierarchical transformers","M Ding, W Zheng, W Hong - Advances in Neural , 2022 - proceedings.neurips.cc","Advances in Neural ¡¦","2022"
"Designing an encoder for stylegan image manipulation","O Tov, Y Alaluf, Y Nitzan, O Patashnik - ACM Transactions on , 2021 - dl.acm.org","ACM Transactions on ¡¦","2021"
"Diffusionclip: Text-guided diffusion models for robust image manipulation","G Kim, T Kwon, JC Ye -  of the IEEE/CVF Conference on , 2022 - openaccess.thecvf.com","¡¦ of the IEEE/CVF Conference on ¡¦","2022"
"Transformers in vision: A survey","S Khan, M Naseer, M Hayat, SW Zamir - ACM computing , 2022 - dl.acm.org","ACM computing ¡¦","2022"
"Review on Convolutional Neural Networks (CNN) in vegetation remote sensing","T Kattenborn, J Leitloff, F Schiefer, S Hinz - ISPRS journal of , 2021 - Elsevier","ISPRS journal of ¡¦","2021"
